MAF	Feature	Enrichment
0.5	cCREs	.94401703838706702289
0.5	exons	.44937259810930225846
0.5	introns	1.01979383735291539817
0.5	other	.98702388347130529255
0.4	cCREs	1.01052101027642054013
0.4	exons	.50474874265199962766
0.4	introns	1.03385531194926026252
0.4	other	.95808413205787765773
0.3	cCREs	.99822691164852986909
0.3	exons	.53815644940636555217
0.3	introns	1.04251466847886672091
0.3	other	.94431123670600682943
0.2	cCREs	1.00779983563385402644
0.2	exons	.53367891197013933968
0.2	introns	1.05837572595796135857
0.2	other	.92307756930675437211
0.1	cCREs	1.05742751562021094363
0.1	exons	.66814402585518977921
0.1	introns	1.05326466062227632642
0.1	other	.92188327939609862533
